app_name,platform,developer_company,app_category,version_number,version_release_date,is_current_version,initial_app_release_date,ios_app_id,bundle_id,app_store_price,in_app_purchase,launch_date_from_source,store_categories,total_ratings_us,app_subtitle,app_description,update_frequency_note,file_size,os_compatibility,device_compatibility,age_rating,languages,permission_categories,permission_usage_keys,permission_count,in_app_products,in_app_products_count,description_feature_flags,has_document_creation_feature,has_real_time_collaboration_feature,has_sharing_feature,has_comments_action_items_feature,has_offline_mode_feature,has_templates_feature,has_word_file_support_feature,has_convert_export_feature,has_google_workspace_feature,has_gemini_ai_feature,has_drafting_editing_ai_feature,has_social_links_feature,update_description,update_description_raw,standardized_update_categories,standardized_summary,feature_specificity,feature_text_sufficient_for_research,version_history_source,version_history_source_url,source_note
Google Docs,iOS,Google,Productivity; Business,1.2018.42200,"Oct 29, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.40201,"Oct 10, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Insert and refresh table of contents * Merge table cells * Updated look and feel * Bug fixes and performance improvements,* Insert and refresh table of contents * Merge table cells * Updated look and feel * Bug fixes and performance improvements,Bug fixes / performance improvements; UI / design changes; New product feature,"Document editing update adding table of contents support, table cell merging, or related formatting improvements.",version_specific_or_actionable,True,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.38201,"Sep 26, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.36202,"Sep 12, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.34201,"Aug 29, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.32207,"Aug 16, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.30202,"Aug 01, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.28206,"Jul 23, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.28205,"Jul 18, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
Google Docs,iOS,Google,Productivity; Business,1.2018.24203,"Jul 05, 2018",False,"April 30, 2014",842842640,com.google.Docs,FreeApp Store,No,"Apr 30, 2014",Productivity; Business,3.1M,"FreeGoogleProductivity, Business","Create, edit, and collaborate on online documents with the Google Docs app. Work together in real time • Share documents with your team • Edit, comment, and add action items in real time Create anywhere, anytime—even offline • Capture spontaneous ideas on the fly • Get things done, even on the go, with offline mode • Save time and add polish with easy-to-use templates Edit and share multiple file types • Open a variety of files, including Microsoft Word files, right in Google Docs • Frictionless collaboration, no matter which application your teammates use • Convert and export files seamlessly Google Docs is part of Google Workspace: where teams of any size can chat, create, and collaborate. Google Workspace paid subscribers have access to additional Google Docs features, including: Use Gemini in Docs to quickly draft and edit content • Draft outlines, blog posts, briefs, and more on the go • Improve your writing with AI-powered suggestions Learn more about Google Docs: https://workspace.google.com/products/docs/ Follow us for more: • X: https://x.com/googleworkspace • Linkedin: https://www.linkedin.com/showcase/googleworkspace • Facebook: https://www.facebook.com/googleworkspace",Releasing updates every 6 days on average. Last update 1 days ago.,290 MB,iOS 16.0 and up,"iPad, iPhone, iPod touch",4+,"English, Afrikaans, Amharic, Arabic, Armenian, Azerbaijani, Basque, Belarusian, Bengali, Bulgarian, Cambodian, Catalan, Croatian, Czech, Danish, Dutch, Estonian, Filipino, Finnish, French, Galician, Georgian, German, Greek, Gujarati, Hebrew, Hindi, Hungarian, Icelandic, Indonesian, Italian, Japanese, Kannada, Kazakh, Korean, Laotian, Latvian, Lithuanian, Malay, Malayalam, Marathi, Mongolian, Nepali, Norwegian Bokmål, Oriya, Persian, Polish, Portuguese, Punjabi, Romanian, Russian, Serbian, Simplified Chinese, Singhalese, Slovak, Slovenian, Spanish, Swahili, Swedish, Tamil, Telugu, Thai, Traditional Chinese, Turkish, Ukrainian, Urdu, Vietnamese, Zulu",Camera; Other,NSCameraUsageDescription; NSPhotoLibraryUsageDescription,2,2 TB ($9.99); 200 GB ($29.99),2,document_creation; real_time_collaboration; sharing; comments_action_items; offline_mode; templates; word_file_support; convert_export; google_workspace; gemini_ai; drafting_editing_ai; social_links,True,True,True,True,True,True,True,True,True,True,True,True,* Bug fixes and performance improvements,* Bug fixes and performance improvements,Bug fixes / performance improvements,Routine maintenance update focused on bug fixes and performance improvements.,generic_or_routine_maintenance,False,Apptopia,https://apptopia.com/ios/app/842842640/about,"Apptopia iOS version history and app metadata. Google Docs release notes are often generic bug-fix/performance notes, with occasional specific editing, collaboration, platform, and AI-related feature updates."
